i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
9881,2021-09-04 17:15:00,LONG,49603.24,50193.48,31.434717180518295,0.42,0.534,-0.007360263064366939,2021,0.011899222712064882,Q2
9925,2021-09-05 04:15:00,LONG,49833.65,49955.87,20.236964715900296,0.44,0.156,-0.0003396149051826537,2021,0.0024525596660088344,LOW
10032,2021-09-06 07:00:00,SHORT,51835.01,51960.0,30.38442408476411,0.095,0.002,0.013101024729940857,2021,-0.002411304637541267,Q2
10097,2021-09-06 23:15:00,SHORT,52568.6,52710.4,43.56587697113894,0.915,0.722,0.012784895482130788,2021,-0.002697427742036176,Q3
10130,2021-09-07 07:30:00,LONG,52389.09,51098.7,20.75416739207771,0.585,0.306,0.001516925910929614,2021,-0.024630891660840062,LOW
10154,2021-09-07 13:30:00,LONG,50895.14,46824.42,44.295383164323724,0.62,0.766,-0.01604369260512326,2021,-0.07998248948720843,Q3
10230,2021-09-08 08:30:00,LONG,45723.03,46595.6,58.38824832095016,0.9,0.962,-0.0036167709037024376,2021,0.019083818373366764,HIGH
10317,2021-09-09 06:15:00,SHORT,46044.52,46088.61,34.04757858715339,0.145,0.606,-0.002382758169058042,2021,-0.0009575515175313759,Q2
10462,2021-09-10 18:30:00,SHORT,45768.9,44707.85,43.480520532358355,0.715,0.466,0.0006616944296654112,2021,0.023182772581381742,Q3
10492,2021-09-11 02:00:00,SHORT,45423.23,45330.02,45.296451866604976,0.82,0.486,0.006744174397714149,2021,0.0020520337281167895,Q3
10601,2021-09-12 05:15:00,SHORT,45425.01,46063.49,29.624331199254687,0.635,0.054,0.0023672853869778146,2021,-0.0140556931082678,Q2
10693,2021-09-13 04:15:00,LONG,44630.81,44405.8,55.32024756743556,0.99,0.83,-0.019263551271665593,2021,-0.005041584501827208,HIGH
10717,2021-09-13 10:15:00,LONG,44684.16,44150.0,32.5164566985779,0.58,0.694,-0.014630101703287386,2021,-0.01195412423552336,Q2
10757,2021-09-13 20:15:00,SHORT,44800.89,44850.34,41.785015800427566,0.58,0.132,-0.007268511470806719,2021,-0.0011037727152294762,Q3
10781,2021-09-14 02:15:00,LONG,45071.82,45210.92,19.07381256488259,0.18,0.58,0.006049894667012514,2021,0.00308618555895898,LOW
10862,2021-09-14 22:30:00,SHORT,46983.99,47159.66,20.274267927441574,0.28,0.642,0.009929593593746787,2021,-0.003738933198308733,LOW
10894,2021-09-15 06:30:00,LONG,46982.28,47574.62,33.09929503567703,0.06,0.292,0.001660825705403081,2021,0.012607732106658165,Q2
10934,2021-09-15 16:30:00,SHORT,48220.6,48040.0,38.248975744033906,0.835,0.598,0.014369708125164313,2021,0.0037452872838579063,Q3
11002,2021-09-16 09:30:00,LONG,48134.87,47686.15,34.10892248449029,0.12,0.054,0.004714563025736347,2021,-0.009322140061872009,Q2
11026,2021-09-16 15:30:00,LONG,47908.03,47699.93,29.882742630828357,0.7,0.868,0.0012745823697158432,2021,-0.004343739452446668,Q2
11050,2021-09-16 21:30:00,LONG,47567.9,47997.63,51.86460432307507,0.67,0.648,-0.0017566040010613385,2021,0.009034033455334288,HIGH
11081,2021-09-17 05:15:00,SHORT,47989.5,47885.01,16.237303947685966,0.395,0.128,0.008307646503700493,2021,0.002177351295595869,LOW
11109,2021-09-17 12:15:00,LONG,47499.3,47607.99,46.42904730543054,0.505,0.54,-0.004030068251155806,2021,0.0022882442478098634,Q3
11133,2021-09-17 18:15:00,SHORT,46947.5,47302.26,21.466988273723018,0.74,0.378,-0.01041720460750675,2021,-0.007556525906597839,LOW
11220,2021-09-18 16:00:00,LONG,48393.7,47917.2,42.66090031460171,0.045,0.028,0.00139592900254586,2021,-0.009846322971791784,Q3
11244,2021-09-18 22:00:00,LONG,48044.0,47853.71,39.282654602814304,0.6,0.294,-0.004414073727319659,2021,-0.003960744317708785,Q3
11285,2021-09-19 08:15:00,SHORT,48170.69,47299.4,29.970889061273397,0.43,0.098,0.003926344081707723,2021,0.0180875549011235,Q2
11351,2021-09-20 00:45:00,LONG,46998.36,45655.6,39.287255406889635,0.795,0.962,-0.006230097477427937,2021,-0.028570358625279735,Q3
11399,2021-09-20 12:45:00,LONG,43535.0,43841.6,56.22368286618299,0.985,1.0,-0.029988906201364372,2021,0.007042609394739831,HIGH
11516,2021-09-21 18:00:00,LONG,42327.95,41456.63,34.68915701502994,0.745,0.942,-0.005332059056481308,2021,-0.020584979900987403,Q2
11540,2021-09-22 00:00:00,LONG,41318.11,42132.53,46.17510147748691,0.81,0.984,-0.004852049870946426,2021,0.019710969354600157,Q3
11587,2021-09-22 11:45:00,LONG,41919.42,43198.05,32.86243884066507,0.18,0.548,0.01081614767379461,2021,0.03050209187054603,Q2
11614,2021-09-22 18:30:00,SHORT,43504.02,43428.12,50.06883404743994,0.72,0.836,0.01374865690714978,2021,0.0017446663549712,HIGH
11684,2021-09-23 12:00:00,LONG,43486.55,43654.75,39.9429790362109,0.53,0.642,-0.005674552658099385,2021,0.0038678625919967686,Q3
11754,2021-09-24 05:30:00,LONG,44109.02,42988.17,56.74914930919241,0.425,0.19,-0.007108080071050445,2021,-0.025410902350584953,HIGH
